"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Apr-2022","EQ","1,501.00","1,502.80","1,459.00","1,502.95","1,465.00","1,462.20","1,476.20","1,734.40","639.00",745787,"1,100,929,474.25",53201
"06-Apr-2022","EQ","1,519.70","1,522.95","1,496.00","1,521.35","1,497.00","1,502.95","1,508.22","1,734.40","639.00",629013,"948,693,121.70",29446
"05-Apr-2022","EQ","1,519.80","1,539.00","1,511.15","1,512.20","1,523.45","1,521.35","1,523.60","1,734.40","639.00",650317,"990,820,465.65",31910
"04-Apr-2022","EQ","1,504.85","1,521.80","1,503.00","1,496.50","1,513.95","1,512.20","1,511.15","1,734.40","639.00",466704,"705,257,841.45",25965
"01-Apr-2022","EQ","1,484.90","1,524.00","1,474.65","1,480.35","1,499.00","1,496.50","1,506.66","1,734.40","621.35",817125,"1,231,126,560.05",40266
"31-Mar-2022","EQ","1,458.40","1,487.95","1,445.00","1,452.75","1,476.95","1,480.35","1,472.52","1,734.40","621.35",738735,"1,087,804,827.55",33249
"30-Mar-2022","EQ","1,465.00","1,473.00","1,450.00","1,452.70","1,452.05","1,452.75","1,458.37","1,734.40","621.35",540380,"788,074,091.25",35222
"29-Mar-2022","EQ","1,478.00","1,488.00","1,450.00","1,471.00","1,454.90","1,452.70","1,461.99","1,734.40","621.35",472629,"690,977,057.00",30783
"28-Mar-2022","EQ","1,475.00","1,480.35","1,450.00","1,473.15","1,469.50","1,471.00","1,465.07","1,734.40","621.35",596776,"874,316,348.10",35290
"25-Mar-2022","EQ","1,504.00","1,504.00","1,470.00","1,496.60","1,476.55","1,473.15","1,482.25","1,734.40","604.40",470596,"697,541,927.05",26160
"24-Mar-2022","EQ","1,465.00","1,501.00","1,461.75","1,471.95","1,498.95","1,496.60","1,486.23","1,734.40","604.40",714440,"1,061,822,527.15",33994
"23-Mar-2022","EQ","1,489.90","1,499.00","1,466.00","1,482.70","1,471.00","1,471.95","1,485.03","1,734.40","604.40",438246,"650,809,610.90",24425
"22-Mar-2022","EQ","1,495.00","1,509.50","1,475.00","1,492.30","1,478.00","1,482.70","1,488.95","1,734.40","604.40",628151,"935,286,680.45",35080
"21-Mar-2022","EQ","1,538.00","1,543.25","1,490.00","1,533.70","1,495.00","1,492.30","1,503.36","1,734.40","604.40",1048544,"1,576,340,155.30",64443
"17-Mar-2022","EQ","1,570.00","1,579.90","1,530.00","1,547.20","1,536.00","1,533.70","1,547.62","1,734.40","565.50",954279,"1,476,864,490.10",55809
"16-Mar-2022","EQ","1,569.00","1,585.45","1,536.65","1,541.65","1,550.00","1,547.20","1,565.11","1,734.40","565.50",1221934,"1,912,466,651.85",61183
"15-Mar-2022","EQ","1,593.70","1,606.30","1,525.10","1,573.05","1,539.00","1,541.65","1,569.55","1,734.40","565.50",2339127,"3,671,380,904.45",117746
"14-Mar-2022","EQ","1,525.00","1,588.10","1,525.00","1,518.90","1,578.00","1,573.05","1,557.58","1,734.40","565.50",2706295,"4,215,261,688.15",111042
"11-Mar-2022","EQ","1,480.00","1,570.00","1,470.00","1,466.60","1,516.00","1,518.90","1,542.01","1,734.40","565.50",5311743,"8,190,767,125.05",214718
"10-Mar-2022","EQ","1,405.45","1,497.90","1,392.00","1,360.85","1,482.30","1,466.60","1,440.32","1,734.40","565.50",2600354,"3,745,330,424.20",121757
"09-Mar-2022","EQ","1,344.00","1,367.00","1,336.60","1,330.30","1,367.00","1,360.85","1,349.53","1,734.40","565.50",570476,"769,873,778.90",35558
"08-Mar-2022","EQ","1,326.00","1,352.00","1,313.60","1,325.55","1,330.00","1,330.30","1,331.69","1,734.40","565.50",408202,"543,599,264.00",35429
"07-Mar-2022","EQ","1,334.00","1,347.15","1,310.00","1,355.35","1,325.00","1,325.55","1,330.09","1,734.40","565.50",454444,"604,453,534.60",44630
