"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-Sep-2021","EQ","42.25","42.50","38.75","42.15","39.20","39.15","40.09","45.00","26.35",41911041,"1,680,019,167.35",68283
"16-Sep-2021","EQ","39.35","42.80","39.05","39.25","41.95","42.15","41.13","45.00","26.35",86432116,"3,554,609,435.45",86626
"15-Sep-2021","EQ","39.15","39.50","39.00","39.00","39.15","39.25","39.25","45.00","26.35",8863141,"347,862,701.60",43423
"14-Sep-2021","EQ","39.50","39.50","38.90","39.35","39.10","39.00","39.25","45.00","26.35",10404454,"408,353,825.00",48338
"13-Sep-2021","EQ","38.30","39.50","38.30","38.35","39.35","39.35","39.07","45.00","26.35",13761554,"537,721,037.35",52964
"09-Sep-2021","EQ","38.60","38.90","38.15","38.55","38.25","38.35","38.43","45.00","26.35",8405106,"323,024,990.35",42213
"08-Sep-2021","EQ","39.25","39.80","38.45","39.10","38.50","38.55","39.22","45.00","26.35",26827088,"1,052,173,627.35",56751
"07-Sep-2021","EQ","38.40","39.50","38.10","38.40","39.10","39.10","39.06","45.00","26.35",21046254,"822,096,845.40",58647
"06-Sep-2021","EQ","38.10","38.70","38.05","38.15","38.40","38.40","38.46","45.00","26.35",5680249,"218,468,430.45",44148
"03-Sep-2021","EQ","38.85","39.00","37.80","38.70","38.00","38.15","38.69","45.00","26.35",12292860,"475,595,960.75",36746
"02-Sep-2021","EQ","38.40","40.45","38.25","38.45","38.70","38.70","39.05","45.00","26.35",22619441,"883,266,516.55",50485
"01-Sep-2021","EQ","38.30","38.70","38.05","38.50","38.45","38.45","38.45","45.00","26.35",7207175,"277,145,851.05",32900
"31-Aug-2021","EQ","38.50","39.00","38.15","38.50","38.20","38.50","38.57","45.00","26.35",10742395,"414,387,703.95",56715
"30-Aug-2021","EQ","38.60","38.60","38.30","38.50","38.55","38.50","38.52","45.00","26.35",6586826,"253,737,281.00",43722
"27-Aug-2021","EQ","37.90","38.60","37.65","37.95","38.55","38.50","38.27","45.20","26.35",8463718,"323,916,045.20",28991
