"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-Jun-2022","EQ","898.00","927.40","895.50","901.70","907.00","906.70","912.33","1,534.50","895.50",12129026,"11,065,731,966.85",269485
"16-Jun-2022","EQ","975.00","975.00","898.20","959.55","898.65","901.70","931.04","1,534.50","898.20",12274105,"11,427,723,603.30",337857
"15-Jun-2022","EQ","953.95","974.25","950.65","996.15","960.50","959.55","961.70","1,534.50","950.65",9244333,"8,890,289,549.60",224117
"14-Jun-2022","EQ","988.25","1,013.70","985.55","991.95","997.05","996.15","1,001.17","1,534.50","985.55",7720260,"7,729,330,686.70",173596
"13-Jun-2022","EQ","1,004.30","1,012.00","990.00","1,023.70","995.00","991.95","998.95","1,534.50","990.00",8223575,"8,214,919,302.20",264924
"10-Jun-2022","EQ","1,030.00","1,031.40","1,010.65","1,044.85","1,023.00","1,023.70","1,020.74","1,534.50","991.80",9522563,"9,720,036,515.10",235426
"09-Jun-2022","EQ","1,074.95","1,087.25","1,041.20","1,086.75","1,041.35","1,044.85","1,055.38","1,534.50","991.80",9854781,"10,400,542,210.20",247940
"08-Jun-2022","EQ","1,081.00","1,088.90","1,074.05","1,068.50","1,086.25","1,086.75","1,083.69","1,534.50","991.80",6473434,"7,015,173,441.45",183637
"07-Jun-2022","EQ","1,067.00","1,081.50","1,063.55","1,078.10","1,069.00","1,068.50","1,069.34","1,534.50","991.80",4334157,"4,634,674,457.15",89594
"06-Jun-2022","EQ","1,065.00","1,082.90","1,049.20","1,067.30","1,079.00","1,078.10","1,070.79","1,534.50","991.80",5726249,"6,131,623,842.30",157272
"03-Jun-2022","EQ","1,092.00","1,092.80","1,065.00","1,081.55","1,067.00","1,067.30","1,075.73","1,534.50","991.80",5395486,"5,804,071,537.40",134583
"02-Jun-2022","EQ","1,067.75","1,084.75","1,059.10","1,063.55","1,081.00","1,081.55","1,071.47","1,534.50","991.80",7917704,"8,483,566,200.80",176345
"01-Jun-2022","EQ","1,065.50","1,079.00","1,053.30","1,055.65","1,061.00","1,063.55","1,065.59","1,534.50","991.80",9405529,"10,022,443,775.45",196673
"31-May-2022","EQ","1,045.00","1,071.90","1,037.00","1,047.45","1,055.75","1,055.65","1,059.42","1,534.50","991.80",12124885,"12,845,390,666.15",218150
"30-May-2022","EQ","1,059.00","1,063.80","1,043.50","1,043.50","1,047.00","1,047.45","1,052.09","1,534.50","991.80",7270159,"7,648,867,514.95",174459
"27-May-2022","EQ","1,062.50","1,067.65","1,032.00","1,052.00","1,043.00","1,043.50","1,046.56","1,534.50","991.80",7477220,"7,825,323,762.20",171055
"26-May-2022","EQ","1,007.00","1,067.55","995.25","999.10","1,049.90","1,052.00","1,033.14","1,534.50","991.80",15053673,"15,552,552,283.05",307131
"25-May-2022","EQ","1,006.35","1,018.35","991.80","1,006.35","998.45","999.10","1,003.91","1,534.50","991.80",9934340,"9,973,206,376.85",259288
"24-May-2022","EQ","1,031.00","1,039.90","1,002.00","1,022.95","1,005.50","1,006.35","1,019.59","1,534.50","1,001.55",12311666,"12,552,845,856.45",334234
"23-May-2022","EQ","1,097.00","1,097.00","1,001.55","1,170.60","1,026.35","1,022.95","1,028.79","1,534.50","1,001.55",27388346,"28,176,958,026.25",679018
"20-May-2022","EQ","1,162.35","1,178.40","1,141.20","1,122.15","1,169.00","1,170.60","1,160.80","1,534.50","1,050.25",6552750,"7,606,442,066.55",151877
"19-May-2022","EQ","1,151.00","1,154.90","1,115.20","1,180.25","1,129.00","1,122.15","1,131.89","1,534.50","1,050.25",6654563,"7,532,244,311.55",203644
"18-May-2022","EQ","1,197.00","1,209.00","1,175.00","1,188.70","1,182.00","1,180.25","1,188.16","1,534.50","1,050.25",8157580,"9,692,512,041.05",181740
"17-May-2022","EQ","1,124.00","1,197.20","1,115.35","1,103.50","1,188.65","1,188.70","1,159.41","1,534.50","1,050.25",11287601,"13,086,910,016.65",266051
"16-May-2022","EQ","1,119.00","1,134.80","1,094.00","1,097.00","1,109.00","1,103.50","1,113.49","1,534.50","1,050.25",6266527,"6,977,732,748.35",166059
"13-May-2022","EQ","1,135.00","1,151.80","1,092.00","1,117.70","1,094.85","1,097.00","1,121.87","1,534.50","1,050.25",8292441,"9,303,075,384.50",216773
"12-May-2022","EQ","1,156.90","1,162.40","1,103.00","1,165.70","1,118.90","1,117.70","1,123.94","1,534.50","1,050.25",9419161,"10,586,609,044.20",258893
"11-May-2022","EQ","1,175.00","1,190.90","1,123.40","1,164.90","1,172.90","1,165.70","1,156.89","1,534.50","1,050.25",10706315,"12,386,051,281.10",243457
"10-May-2022","EQ","1,251.00","1,254.65","1,158.55","1,252.25","1,161.25","1,164.90","1,196.85","1,534.50","1,050.25",14553742,"17,418,666,398.75",344143
"09-May-2022","EQ","1,260.00","1,274.20","1,244.00","1,283.70","1,251.20","1,252.25","1,258.06","1,534.50","1,050.25",5055297,"6,359,852,196.20",137090
"06-May-2022","EQ","1,268.00","1,290.00","1,243.00","1,284.25","1,287.00","1,283.70","1,263.22","1,534.50","1,018.50",6925676,"8,748,619,578.85",187318
"05-May-2022","EQ","1,280.00","1,316.50","1,278.00","1,261.35","1,288.00","1,284.25","1,297.73","1,534.50","1,018.50",8733816,"11,334,156,938.60",210766
"04-May-2022","EQ","1,327.30","1,330.00","1,254.50","1,295.20","1,266.00","1,261.35","1,289.60","1,534.50","1,018.50",13837402,"17,844,727,443.05",357495
"02-May-2022","EQ","1,257.00","1,302.75","1,248.75","1,271.05","1,297.00","1,295.20","1,278.27","1,534.50","1,018.50",5442617,"6,957,139,104.35",119557
"29-Apr-2022","EQ","1,268.00","1,291.70","1,265.65","1,260.85","1,270.00","1,271.05","1,279.58","1,534.50","930.05",5717352,"7,315,837,150.15",129717
"28-Apr-2022","EQ","1,259.50","1,268.65","1,243.00","1,246.70","1,258.65","1,260.85","1,255.22","1,534.50","930.05",5129583,"6,438,734,682.00",130108
"27-Apr-2022","EQ","1,227.00","1,255.00","1,210.40","1,233.60","1,249.00","1,246.70","1,231.77","1,534.50","930.05",7120974,"8,771,371,654.40",175421
"26-Apr-2022","EQ","1,235.00","1,241.70","1,225.00","1,220.35","1,232.80","1,233.60","1,233.12","1,534.50","930.05",4481271,"5,525,948,859.35",128605
"25-Apr-2022","EQ","1,250.00","1,262.95","1,212.80","1,277.55","1,223.00","1,220.35","1,233.13","1,534.50","930.05",7231046,"8,916,844,390.40",230680
"22-Apr-2022","EQ","1,301.60","1,311.55","1,273.75","1,302.15","1,278.95","1,277.55","1,291.07","1,534.50","860.00",5584823,"7,210,390,040.90",159826
"21-Apr-2022","EQ","1,316.00","1,322.75","1,285.85","1,314.25","1,307.00","1,302.15","1,301.15","1,534.50","860.00",6669028,"8,677,427,230.85",168216
"20-Apr-2022","EQ","1,329.70","1,336.45","1,303.05","1,326.60","1,315.90","1,314.25","1,318.65","1,534.50","860.00",5410021,"7,133,940,458.50",131794
"19-Apr-2022","EQ","1,352.60","1,366.65","1,309.00","1,339.10","1,315.00","1,326.60","1,350.88","1,534.50","860.00",6477219,"8,749,930,979.45",154119
"18-Apr-2022","EQ","1,331.90","1,358.05","1,328.85","1,319.50","1,340.25","1,339.10","1,343.07","1,534.50","860.00",8070042,"10,838,623,713.50",233360
"13-Apr-2022","EQ","1,334.95","1,346.00","1,315.00","1,320.25","1,316.05","1,319.50","1,328.33","1,534.50","843.35",4493780,"5,969,226,933.65",104277
"12-Apr-2022","EQ","1,353.00","1,359.95","1,296.10","1,357.90","1,322.00","1,320.25","1,315.64","1,534.50","843.35",6919168,"9,103,139,739.75",166013
"11-Apr-2022","EQ","1,370.70","1,384.00","1,353.00","1,370.75","1,354.55","1,357.90","1,368.12","1,534.50","843.35",4477882,"6,126,268,528.40",112838
"08-Apr-2022","EQ","1,360.95","1,379.95","1,356.25","1,349.50","1,366.05","1,370.75","1,368.69","1,534.50","837.15",5228771,"7,156,591,391.40",106015
"07-Apr-2022","EQ","1,377.00","1,381.00","1,341.00","1,370.75","1,353.70","1,349.50","1,360.25","1,534.50","837.15",5565064,"7,569,859,990.10",131239
"06-Apr-2022","EQ","1,350.00","1,386.70","1,346.80","1,344.90","1,370.00","1,370.75","1,370.35","1,534.50","837.15",11409754,"15,635,306,605.70",231426
"05-Apr-2022","EQ","1,348.45","1,358.00","1,329.25","1,341.90","1,344.00","1,344.90","1,343.14","1,534.50","837.15",6329642,"8,501,575,038.95",139394
"04-Apr-2022","EQ","1,317.10","1,354.00","1,314.45","1,317.10","1,340.20","1,341.90","1,336.98","1,534.50","837.15",6967032,"9,314,756,763.00",140874
"01-Apr-2022","EQ","1,310.00","1,340.90","1,305.45","1,307.20","1,317.15","1,317.10","1,321.20","1,534.50","777.90",5532159,"7,309,088,664.30",122345
"31-Mar-2022","EQ","1,308.00","1,320.45","1,300.10","1,308.05","1,307.50","1,307.20","1,311.19","1,534.50","777.90",4006795,"5,253,688,052.70",95450
"30-Mar-2022","EQ","1,335.00","1,335.55","1,300.00","1,334.65","1,306.20","1,308.05","1,308.40","1,534.50","777.90",5848316,"7,651,963,500.35",170961
